Frquency(Hz),Angle_of_Attack,Chord_Length,Free_stream_velocity,Displacement,Sound_pressure_level,predicted
6300,1.5,0.3048,39.6,0.00392107,114.751,116.47002588766668
8000,1.5,0.3048,39.6,0.00392107,112.251,114.2592639850796
10000,1.5,0.3048,39.6,0.00392107,108.991,111.65836762909483
12500,1.5,0.3048,39.6,0.00392107,106.111,108.40724718411386
400,3.0,0.3048,71.3,0.00425727,127.564,126.63447755972898
500,3.0,0.3048,71.3,0.00425727,128.454,126.50443274192973
630,3.0,0.3048,71.3,0.00425727,129.35399999999998,126.33537447879073
800,3.0,0.3048,71.3,0.00425727,129.494,126.11429828853203
1000,3.0,0.3048,71.3,0.00425727,129.004,125.85420865293354
1250,3.0,0.3048,71.3,0.00425727,127.634,125.52909660843545
1600,3.0,0.3048,71.3,0.00425727,126.514,125.07393974613811
2000,3.0,0.3048,71.3,0.00425727,125.524,124.55376047494116
2500,3.0,0.3048,71.3,0.00425727,124.024,123.90353638594496
3150,3.0,0.3048,71.3,0.00425727,121.514,123.05824507024991
4000,3.0,0.3048,71.3,0.00425727,120.264,121.95286411895637
5000,3.0,0.3048,71.3,0.00425727,118.134,120.65241594096398
6300,3.0,0.3048,71.3,0.00425727,116.134,118.96183330957388
8000,3.0,0.3048,71.3,0.00425727,114.634,116.75107140698681
10000,3.0,0.3048,71.3,0.00425727,110.22399999999999,114.15017505100202
400,3.0,0.3048,55.5,0.00452492,126.15899999999999,125.0218704508633
500,3.0,0.3048,55.5,0.00452492,128.179,124.89182563306407
630,3.0,0.3048,55.5,0.00452492,129.569,124.72276736992507
800,3.0,0.3048,55.5,0.00452492,129.94899999999998,124.50169117966635
1000,3.0,0.3048,55.5,0.00452492,129.329,124.24160154406788
1250,3.0,0.3048,55.5,0.00452492,127.329,123.91648949956978
1600,3.0,0.3048,55.5,0.00452492,124.439,123.46133263727245
2000,3.0,0.3048,55.5,0.00452492,123.069,122.94115336607548
2500,3.0,0.3048,55.5,0.00452492,122.439,122.29092927707929
3150,3.0,0.3048,55.5,0.00452492,120.189,121.44563796138424
4000,3.0,0.3048,55.5,0.00452492,118.689,120.34025701009071
5000,3.0,0.3048,55.5,0.00452492,117.309,119.03980883209832
6300,3.0,0.3048,55.5,0.00452492,115.679,117.3492262007082
8000,3.0,0.3048,55.5,0.00452492,113.79899999999999,115.13846429812114
10000,3.0,0.3048,55.5,0.00452492,112.169,112.53756794213635
315,3.0,0.3048,39.6,0.00495741,123.31200000000001,123.48659816525344
400,3.0,0.3048,39.6,0.00495741,125.47200000000001,123.37606007012408
500,3.0,0.3048,39.6,0.00495741,127.632,123.24601525232484
630,3.0,0.3048,39.6,0.00495741,129.292,123.07695698918583
800,3.0,0.3048,39.6,0.00495741,129.55200000000002,122.85588079892713
1000,3.0,0.3048,39.6,0.00495741,128.312,122.59579116332864
1250,3.0,0.3048,39.6,0.00495741,125.802,122.27067911883054
1600,3.0,0.3048,39.6,0.00495741,122.78200000000001,121.81552225653321
2000,3.0,0.3048,39.6,0.00495741,120.53200000000001,121.29534298533625
2500,3.0,0.3048,39.6,0.00495741,120.162,120.64511889634007
3150,3.0,0.3048,39.6,0.00495741,118.92200000000001,119.799827580645
4000,3.0,0.3048,39.6,0.00495741,116.792,118.69444662935148
5000,3.0,0.3048,39.6,0.00495741,115.792,117.39399845135908
6300,3.0,0.3048,39.6,0.00495741,114.042,115.70341581996897
8000,3.0,0.3048,39.6,0.00495741,110.652,113.49265391738192
315,3.0,0.3048,31.7,0.00529514,123.118,122.65155236721478
400,3.0,0.3048,31.7,0.00529514,125.398,122.54101427208542
500,3.0,0.3048,31.7,0.00529514,127.54799999999999,122.41096945428617
630,3.0,0.3048,31.7,0.00529514,128.69799999999998,122.24191119114717
800,3.0,0.3048,31.7,0.00529514,128.708,122.02083500088847
1000,3.0,0.3048,31.7,0.00529514,126.838,121.76074536528998
1250,3.0,0.3048,31.7,0.00529514,124.838,121.43563332079188
1600,3.0,0.3048,31.7,0.00529514,122.088,120.98047645849455
2000,3.0,0.3048,31.7,0.00529514,120.088,120.4602971872976
2500,3.0,0.3048,31.7,0.00529514,119.598,119.8100730983014
3150,3.0,0.3048,31.7,0.00529514,118.10799999999999,118.96478178260634
4000,3.0,0.3048,31.7,0.00529514,115.60799999999999,117.85940083131281
5000,3.0,0.3048,31.7,0.00529514,113.85799999999999,116.55895265332042
6300,3.0,0.3048,31.7,0.00529514,109.71799999999999,114.8683700219303
250,4.0,0.3048,71.3,0.00497773,126.395,126.31430372038297
315,4.0,0.3048,71.3,0.00497773,128.175,126.22977458881347
400,4.0,0.3048,71.3,0.00497773,129.575,126.11923649368411
500,4.0,0.3048,71.3,0.00497773,130.715,125.98919167588487
630,4.0,0.3048,71.3,0.00497773,131.615,125.82013341274586
800,4.0,0.3048,71.3,0.00497773,131.755,125.59905722248716
1000,4.0,0.3048,71.3,0.00497773,131.015,125.33896758688869
1250,4.0,0.3048,71.3,0.00497773,129.395,125.01385554239059
1600,4.0,0.3048,71.3,0.00497773,126.645,124.55869868009324
2000,4.0,0.3048,71.3,0.00497773,124.395,124.03851940889629
2500,4.0,0.3048,71.3,0.00497773,123.775,123.3882953199001
3150,4.0,0.3048,71.3,0.00497773,121.775,122.54300400420505
4000,4.0,0.3048,71.3,0.00497773,119.535,121.4376230529115
5000,4.0,0.3048,71.3,0.00497773,117.785,120.13717487491911
6300,4.0,0.3048,71.3,0.00497773,116.165,118.44659224352901
8000,4.0,0.3048,71.3,0.00497773,113.665,116.23583034094194
10000,4.0,0.3048,71.3,0.00497773,110.905,113.63493398495716
12500,4.0,0.3048,71.3,0.00497773,107.405,110.38381353997619
250,4.0,0.3048,39.6,0.00579636,123.54299999999999,123.03918399961722
315,4.0,0.3048,39.6,0.00579636,126.84299999999999,122.95465486804771
400,4.0,0.3048,39.6,0.00579636,128.63299999999998,122.84411677291835
500,4.0,0.3048,39.6,0.00579636,130.173,122.71407195511912
630,4.0,0.3048,39.6,0.00579636,131.07299999999998,122.5450136919801
800,4.0,0.3048,39.6,0.00579636,130.72299999999998,122.3239375017214
1000,4.0,0.3048,39.6,0.00579636,128.72299999999998,122.06384786612293
1250,4.0,0.3048,39.6,0.00579636,126.34299999999999,121.73873582162483
1600,4.0,0.3048,39.6,0.00579636,123.213,121.28357895932749
2000,4.0,0.3048,39.6,0.00579636,120.963,120.76339968813053
2500,4.0,0.3048,39.6,0.00579636,120.23299999999999,120.11317559913434
3150,4.0,0.3048,39.6,0.00579636,118.743,119.26788428343929
4000,4.0,0.3048,39.6,0.00579636,115.863,118.16250333214575
5000,4.0,0.3048,39.6,0.00579636,113.73299999999999,116.86205515415335
1250,0.0,0.2286,71.3,0.00214345,128.144,129.7451557817186
1600,0.0,0.2286,71.3,0.00214345,129.134,129.2899989194213
2000,0.0,0.2286,71.3,0.00214345,128.244,128.76981964822434
2500,0.0,0.2286,71.3,0.00214345,128.35399999999998,128.11959555922815
3150,0.0,0.2286,71.3,0.00214345,127.834,127.27430424353308
4000,0.0,0.2286,71.3,0.00214345,125.824,126.16892329223955
5000,0.0,0.2286,71.3,0.00214345,124.304,124.86847511424716
6300,0.0,0.2286,71.3,0.00214345,122.044,123.17789248285705
8000,0.0,0.2286,71.3,0.00214345,118.024,120.96713058027
10000,0.0,0.2286,71.3,0.00214345,118.134,118.36623422428521
12500,0.0,0.2286,71.3,0.00214345,117.624,115.11511377930422
16000,0.0,0.2286,71.3,0.00214345,114.984,110.56354515633086
20000,0.0,0.2286,71.3,0.00214345,114.47399999999999,105.3617524443613
315,0.0,0.2286,55.5,0.00229336,119.54,129.36506423119144
400,0.0,0.2286,55.5,0.00229336,121.66,129.25452613606208
500,0.0,0.2286,55.5,0.00229336,123.78,129.12448131826284
630,0.0,0.2286,55.5,0.00229336,126.16,128.95542305512384
800,0.0,0.2286,55.5,0.00229336,127.53,128.73434686486513
1000,0.0,0.2286,55.5,0.00229336,128.29,128.47425722926664
1250,0.0,0.2286,55.5,0.00229336,127.91,128.14914518476854
1600,0.0,0.2286,55.5,0.00229336,126.79,127.69398832247121
2000,0.0,0.2286,55.5,0.00229336,126.54,127.17380905127426
2500,0.0,0.2286,55.5,0.00229336,126.54,126.52358496227806
3150,0.0,0.2286,55.5,0.00229336,125.16,125.67829364658301
4000,0.0,0.2286,55.5,0.00229336,123.41,124.57291269528947
5000,0.0,0.2286,55.5,0.00229336,122.41,123.27246451729708
6300,0.0,0.2286,55.5,0.00229336,118.41,121.58188188590698
315,0.0,0.2286,39.6,0.00253511,121.055,127.74614036890627
400,0.0,0.2286,39.6,0.00253511,123.565,127.63560227377693
500,0.0,0.2286,39.6,0.00253511,126.195,127.50555745597768
630,0.0,0.2286,39.6,0.00253511,128.705,127.33649919283867
800,0.0,0.2286,39.6,0.00253511,130.205,127.11542300257996
1000,0.0,0.2286,39.6,0.00253511,130.435,126.85533336698148
1250,0.0,0.2286,39.6,0.00253511,129.395,126.53022132248338
1600,0.0,0.2286,39.6,0.00253511,127.095,126.07506446018604
2000,0.0,0.2286,39.6,0.00253511,125.305,125.55488518898909
2500,0.0,0.2286,39.6,0.00253511,125.025,124.9046610999929
3150,0.0,0.2286,39.6,0.00253511,124.625,124.05936978429784
4000,0.0,0.2286,39.6,0.00253511,123.465,122.95398883300432
5000,0.0,0.2286,39.6,0.00253511,122.175,121.65354065501192
6300,0.0,0.2286,39.6,0.00253511,117.465,119.96295802362181
315,0.0,0.2286,31.7,0.0027238,120.595,126.93210309928531
400,0.0,0.2286,31.7,0.0027238,123.635,126.82156500415596
500,0.0,0.2286,31.7,0.0027238,126.675,126.69152018635673
630,0.0,0.2286,31.7,0.0027238,129.465,126.52246192321772
800,0.0,0.2286,31.7,0.0027238,130.725,126.301385732959
1000,0.0,0.2286,31.7,0.0027238,130.595,126.04129609736053
1250,0.0,0.2286,31.7,0.0027238,128.805,125.71618405286243
1600,0.0,0.2286,31.7,0.0027238,125.625,125.26102719056509
2000,0.0,0.2286,31.7,0.0027238,123.455,124.74084791936814
2500,0.0,0.2286,31.7,0.0027238,123.445,124.09062383037194
3150,0.0,0.2286,31.7,0.0027238,123.445,123.24533251467689
4000,0.0,0.2286,31.7,0.0027238,122.035,122.13995156338336
5000,0.0,0.2286,31.7,0.0027238,120.505,120.83950338539097
6300,0.0,0.2286,31.7,0.0027238,116.815,119.14892075400086
400,2.0,0.2286,71.3,0.00293031,125.116,129.91225024032718
500,2.0,0.2286,71.3,0.00293031,126.486,129.78220542252794
630,2.0,0.2286,71.3,0.00293031,127.35600000000001,129.61314715938894
800,2.0,0.2286,71.3,0.00293031,128.216,129.39207096913023
1000,2.0,0.2286,71.3,0.00293031,128.95600000000002,129.13198133353174
1250,2.0,0.2286,71.3,0.00293031,128.816,128.80686928903364
1600,2.0,0.2286,71.3,0.00293031,127.796,128.35171242673633
2000,2.0,0.2286,71.3,0.00293031,126.896,127.83153315553936
2500,2.0,0.2286,71.3,0.00293031,127.006,127.18130906654316
3150,2.0,0.2286,71.3,0.00293031,126.116,126.33601775084811
4000,2.0,0.2286,71.3,0.00293031,124.086,125.23063679955457
5000,2.0,0.2286,71.3,0.00293031,122.816,123.9301886215622
6300,2.0,0.2286,71.3,0.00293031,120.786,122.23960599017208
8000,2.0,0.2286,71.3,0.00293031,115.99600000000001,120.02884408758501
10000,2.0,0.2286,71.3,0.00293031,113.086,117.42794773160024
400,2.0,0.2286,55.5,0.00313525,122.292,128.30848266995503
500,2.0,0.2286,55.5,0.00313525,124.69200000000001,128.1784378521558
630,2.0,0.2286,55.5,0.00313525,126.84200000000001,128.0093795890168
800,2.0,0.2286,55.5,0.00313525,128.49200000000002,127.78830339875807
1000,2.0,0.2286,55.5,0.00313525,129.002,127.5282137631596
1250,2.0,0.2286,55.5,0.00313525,128.762,127.2031017186615
1600,2.0,0.2286,55.5,0.00313525,126.75200000000001,126.74794485636417
2000,2.0,0.2286,55.5,0.00313525,124.61200000000001,126.2277655851672
2500,2.0,0.2286,55.5,0.00313525,123.86200000000001,125.57754149617102
3150,2.0,0.2286,55.5,0.00313525,123.742,124.73225018047596
4000,2.0,0.2286,55.5,0.00313525,122.23200000000001,123.62686922918243
5000,2.0,0.2286,55.5,0.00313525,120.47200000000001,122.32642105119004
6300,2.0,0.2286,55.5,0.00313525,118.712,120.63583841979994
315,2.0,0.2286,39.6,0.00346574,120.137,126.78758820170027
400,2.0,0.2286,39.6,0.00346574,122.147,126.67705010657092
500,2.0,0.2286,39.6,0.00346574,125.15700000000001,126.54700528877169
630,2.0,0.2286,39.6,0.00346574,127.417,126.37794702563266
800,2.0,0.2286,39.6,0.00346574,129.037,126.15687083537397
1000,2.0,0.2286,39.6,0.00346574,129.14700000000002,125.89678119977549
1250,2.0,0.2286,39.6,0.00346574,128.257,125.57166915527739
1600,2.0,0.2286,39.6,0.00346574,125.837,125.11651229298005
2000,2.0,0.2286,39.6,0.00346574,122.79700000000001,124.5963330217831
2500,2.0,0.2286,39.6,0.00346574,121.397,123.9461089327869
3150,2.0,0.2286,39.6,0.00346574,121.62700000000001,123.10081761709185
4000,2.0,0.2286,39.6,0.00346574,120.227,121.99543666579831
5000,2.0,0.2286,39.6,0.00346574,118.82700000000001,120.69498848780593
6300,2.0,0.2286,39.6,0.00346574,116.417,119.00440585641581
315,2.0,0.2286,31.7,0.00372371,120.147,125.96378529299733
400,2.0,0.2286,31.7,0.00372371,123.417,125.85324719786799
500,2.0,0.2286,31.7,0.00372371,126.677,125.72320238006874
630,2.0,0.2286,31.7,0.00372371,129.05700000000002,125.55414411692973
800,2.0,0.2286,31.7,0.00372371,130.30700000000002,125.33306792667102
1000,2.0,0.2286,31.7,0.00372371,130.30700000000002,125.07297829107254
1250,2.0,0.2286,31.7,0.00372371,128.67700000000002,124.74786624657445
1600,2.0,0.2286,31.7,0.00372371,125.79700000000001,124.29270938427712
2000,2.0,0.2286,31.7,0.00372371,123.037,123.77253011308015
2500,2.0,0.2286,31.7,0.00372371,121.40700000000001,123.12230602408397
3150,2.0,0.2286,31.7,0.00372371,121.527,122.2770147083889
4000,2.0,0.2286,31.7,0.00372371,120.527,121.17163375709538
5000,2.0,0.2286,31.7,0.00372371,118.26700000000001,119.87118557910298
6300,2.0,0.2286,31.7,0.00372371,115.137,118.18060294771288
500,4.0,0.2286,71.3,0.00400603,126.758,128.80320151492927
630,4.0,0.2286,71.3,0.00400603,129.03799999999998,128.63414325179025
800,4.0,0.2286,71.3,0.00400603,130.688,128.41306706153154
1000,4.0,0.2286,71.3,0.00400603,131.708,128.15297742593307
1250,4.0,0.2286,71.3,0.00400603,131.718,127.82786538143498
1600,4.0,0.2286,71.3,0.00400603,129.468,127.37270851913763
2000,4.0,0.2286,71.3,0.00400603,126.21799999999999,126.85252924794068
2500,4.0,0.2286,71.3,0.00400603,124.338,126.20230515894448
3150,4.0,0.2286,71.3,0.00400603,124.10799999999999,125.35701384324943
4000,4.0,0.2286,71.3,0.00400603,121.728,124.2516328919559
5000,4.0,0.2286,71.3,0.00400603,121.118,122.95118471396351
6300,4.0,0.2286,71.3,0.00400603,118.618,121.2606020825734
8000,4.0,0.2286,71.3,0.00400603,112.848,119.04984017998633
10000,4.0,0.2286,71.3,0.00400603,113.10799999999999,116.44894382400156
12500,4.0,0.2286,71.3,0.00400603,114.258,113.19782337902058
16000,4.0,0.2286,71.3,0.00400603,112.76799999999999,108.64625475604721
20000,4.0,0.2286,71.3,0.00400603,109.63799999999999,103.44446204407765
400,4.0,0.2286,55.5,0.0042861999999999996,123.274,127.318874417262
500,4.0,0.2286,55.5,0.0042861999999999996,127.314,127.18882959946275
630,4.0,0.2286,55.5,0.0042861999999999996,129.964,127.01977133632374
800,4.0,0.2286,55.5,0.0042861999999999996,131.864,126.79869514606504
1000,4.0,0.2286,55.5,0.0042861999999999996,132.134,126.53860551046655
1250,4.0,0.2286,55.5,0.0042861999999999996,131.264,126.21349346596847
1600,4.0,0.2286,55.5,0.0042861999999999996,128.264,125.75833660367113
2000,4.0,0.2286,55.5,0.0042861999999999996,124.25399999999999,125.23815733247417
2500,4.0,0.2286,55.5,0.0042861999999999996,122.384,124.58793324347798
3150,4.0,0.2286,55.5,0.0042861999999999996,122.39399999999999,123.74264192778293
4000,4.0,0.2286,55.5,0.0042861999999999996,120.654,122.63726097648939
5000,4.0,0.2286,55.5,0.0042861999999999996,120.03399999999999,121.336812798497
6300,4.0,0.2286,55.5,0.0042861999999999996,117.154,119.64623016710689
8000,4.0,0.2286,55.5,0.0042861999999999996,112.524,117.43546826451983
315,4.0,0.2286,39.6,0.00473801,122.229,125.78087880389427
400,4.0,0.2286,39.6,0.00473801,123.87899999999999,125.67034070876491
500,4.0,0.2286,39.6,0.00473801,127.039,125.54029589096568
630,4.0,0.2286,39.6,0.00473801,129.579,125.37123762782666
800,4.0,0.2286,39.6,0.00473801,130.469,125.15016143756796
1000,4.0,0.2286,39.6,0.00473801,129.969,124.89007180196948
1250,4.0,0.2286,39.6,0.00473801,128.339,124.56495975747139
1600,4.0,0.2286,39.6,0.00473801,125.319,124.10980289517404
2000,4.0,0.2286,39.6,0.00473801,121.65899999999999,123.58962362397709
2500,4.0,0.2286,39.6,0.00473801,119.649,122.9393995349809
3150,4.0,0.2286,39.6,0.00473801,120.419,122.09410821928584
4000,4.0,0.2286,39.6,0.00473801,119.15899999999999,120.9887272679923
5000,4.0,0.2286,39.6,0.00473801,117.649,119.68827908999992
6300,4.0,0.2286,39.6,0.00473801,114.249,117.99769645860981
8000,4.0,0.2286,39.6,0.00473801,113.12899999999999,115.78693455602274
250,4.0,0.2286,31.7,0.00509068,120.189,125.02825621005957
315,4.0,0.2286,31.7,0.00509068,123.609,124.94372707849006
400,4.0,0.2286,31.7,0.00509068,126.149,124.83318898336071
500,4.0,0.2286,31.7,0.00509068,128.939,124.70314416556147
630,4.0,0.2286,31.7,0.00509068,130.349,124.53408590242246
800,4.0,0.2286,31.7,0.00509068,130.869,124.31300971216375
1000,4.0,0.2286,31.7,0.00509068,129.869,124.05292007656527
1250,4.0,0.2286,31.7,0.00509068,128.119,123.72780803206717
1600,4.0,0.2286,31.7,0.00509068,125.229,123.27265116976984
2000,4.0,0.2286,31.7,0.00509068,122.089,122.75247189857288
2500,4.0,0.2286,31.7,0.00509068,120.209,122.10224780957668
3150,4.0,0.2286,31.7,0.00509068,120.229,121.25695649388163
4000,4.0,0.2286,31.7,0.00509068,118.859,120.1515755425881
5000,4.0,0.2286,31.7,0.00509068,115.969,118.85112736459571
6300,4.0,0.2286,31.7,0.00509068,112.699,117.16054473320561
400,5.3,0.2286,71.3,0.0051942,127.7,128.22797161091273
500,5.3,0.2286,71.3,0.0051942,129.88,128.0979267931135
630,5.3,0.2286,71.3,0.0051942,131.8,127.92886852997448
800,5.3,0.2286,71.3,0.0051942,133.48,127.70779233971577
1000,5.3,0.2286,71.3,0.0051942,134.0,127.44770270411729
1250,5.3,0.2286,71.3,0.0051942,133.38,127.12259065961919
1600,5.3,0.2286,71.3,0.0051942,130.46,126.66743379732186
2000,5.3,0.2286,71.3,0.0051942,125.89,126.1472545261249
2500,5.3,0.2286,71.3,0.0051942,123.74,125.4970304371287
3150,5.3,0.2286,71.3,0.0051942,123.12,124.65173912143365
4000,5.3,0.2286,71.3,0.0051942,120.33,123.54635817014012
5000,5.3,0.2286,71.3,0.0051942,118.05,122.24590999214773
6300,5.3,0.2286,71.3,0.0051942,116.92,120.55532736075762
8000,5.3,0.2286,71.3,0.0051942,114.9,118.34456545817056
10000,5.3,0.2286,71.3,0.0051942,111.35,115.74366910218578
250,5.3,0.2286,39.6,0.00614329,127.01100000000001,125.12952960653065
315,5.3,0.2286,39.6,0.00614329,129.691,125.04500047496114
400,5.3,0.2286,39.6,0.00614329,131.221,124.9344623798318
500,5.3,0.2286,39.6,0.00614329,132.251,124.80441756203255
630,5.3,0.2286,39.6,0.00614329,132.011,124.63535929889355
800,5.3,0.2286,39.6,0.00614329,129.491,124.41428310863483
1000,5.3,0.2286,39.6,0.00614329,125.581,124.15419347303636
1250,5.3,0.2286,39.6,0.00614329,125.721,123.82908142853826
1600,5.3,0.2286,39.6,0.00614329,123.081,123.37392456624093
2000,5.3,0.2286,39.6,0.00614329,117.911,122.85374529504396
2500,5.3,0.2286,39.6,0.00614329,116.15100000000001,122.20352120604777
3150,5.3,0.2286,39.6,0.00614329,118.441,121.35822989035272
4000,5.3,0.2286,39.6,0.00614329,115.801,120.25284893905919
5000,5.3,0.2286,39.6,0.00614329,115.311,118.9524007610668
6300,5.3,0.2286,39.6,0.00614329,112.541,117.26181812967668
200,7.3,0.2286,71.3,0.010440399999999999,138.75799999999998,126.92119067496004
250,7.3,0.2286,71.3,0.010440399999999999,139.918,126.85616826606042
315,7.3,0.2286,71.3,0.010440399999999999,139.808,126.77163913449093
400,7.3,0.2286,71.3,0.010440399999999999,139.438,126.66110103936157
500,7.3,0.2286,71.3,0.010440399999999999,136.798,126.53105622156234
630,7.3,0.2286,71.3,0.010440399999999999,133.768,126.36199795842332
800,7.3,0.2286,71.3,0.010440399999999999,130.748,126.14092176816462
1000,7.3,0.2286,71.3,0.010440399999999999,126.838,125.88083213256614
1250,7.3,0.2286,71.3,0.010440399999999999,127.35799999999999,125.55572008806804
